staat,jahr,tote_p10k,biersteuer,alo,lpkopf_einkom,alk_alter,D82,D83,D84,D85,D86,D87,D88
AL,1982,2.12836,1.539379478,14.39999962,9.26332670466523,19,1,0,0,0,0,0,0
AL,1983,2.34848,1.788990736,13.69999981,9.2810595518683,19,0,1,0,0,0,0,0
AL,1984,2.33643,1.714285612,11.10000038,9.31549205763054,19,0,0,1,0,0,0,0
AL,1985,2.19348,1.652542353,8.899999619,9.33544118504654,19.67000008,0,0,0,1,0,0,0
AL,1986,2.66914,1.609907031,9.800000191,9.3640486831157,21,0,0,0,0,1,0,0
AL,1987,2.71859,1.559999943,7.800000191,9.38798433921903,21,0,0,0,0,0,1,0
AL,1988,2.49391,1.501443624,7.199999809,9.42291822395287,21,0,0,0,0,0,0,1
AZ,1982,2.49914,0.214797139,9.899999619,9.41809161437089,19,1,0,0,0,0,0,0
AZ,1983,2.26738,0.206422031,9.100000381,9.44886956456014,19,0,1,0,0,0,0,0
AZ,1984,2.82878,0.296703309,5,9.49295464404252,19,0,0,1,0,0,0,0
AZ,1985,2.80201,0.381355941,6.5,9.52709777860406,21,0,0,0,1,0,0,0
AZ,1986,3.07106,0.371517032,6.900000095,9.55444959742019,21,0,0,0,0,1,0,0
AZ,1987,2.76728,0.360000014,6.199999809,9.56388040721943,21,0,0,0,0,0,1,0
AZ,1988,2.70565,0.346487015,6.300000191,9.57554478356245,21,0,0,0,0,0,0,1
AR,1982,2.38405,0.650358021,9.800000191,9.23671963259525,21,1,0,0,0,0,0,0
AR,1983,2.3957,0.675458729,10.10000038,9.25277575196987,21,0,1,0,0,0,0,0
AR,1984,2.23785,0.598901093,8.899999619,9.29802916446811,21,0,0,1,0,0,0,0
AR,1985,2.26367,0.57733053,8.699999809,9.31913775822237,21,0,0,0,1,0,0,0
AR,1986,2.54323,0.562435508,8.699999809,9.3413143223814,21,0,0,0,0,1,0,0
AR,1987,2.67588,0.545000017,8.100000381,9.35331454092729,21,0,0,0,0,0,1,0
AR,1988,2.54697,0.524542868,7.699999809,9.37248870060994,21,0,0,0,0,0,0,1
CA,1982,1.86194,0.10739857,9.899999619,9.66758392030296,21,1,0,0,0,0,0,0
CA,1983,1.80672,0.103211015,9.699999809,9.67847873707285,21,0,1,0,0,0,0,0
CA,1984,1.94611,0.0989011,7.800000191,9.71656197629115,21,0,0,1,0,0,0,0
CA,1985,1.88128,0.095338985,7.199999809,9.74009588466593,21,0,0,0,1,0,0,0
CA,1986,1.94548,0.092879258,6.699999809,9.76169568508143,21,0,0,0,0,1,0,0
CA,1987,1.98966,0.090000004,5.800000191,9.7895346724601,21,0,0,0,0,0,1,0
CA,1988,1.90365,0.086621754,5.300000191,9.80085032203554,21,0,0,0,0,0,0,1
CO,1982,2.17448,0.214797139,7.699999809,9.62127972701568,21,1,0,0,0,0,0,0
CO,1983,2.05144,0.206422031,6.599999905,9.62455911234101,21,0,1,0,0,0,0,0
CO,1984,1.90596,0.197802201,5.599999905,9.64774419759414,21,0,0,1,0,0,0,0
CO,1985,1.79201,0.190677971,5.900000095,9.65309580816576,21,0,0,0,1,0,0,0
CO,1986,1.8463,0.185758516,7.400000095,9.65605762459092,21,0,0,0,0,1,0,0
CO,1987,1.79308,0.180000007,7.699999809,9.65534665470488,21,0,0,0,0,0,1,0
CO,1988,1.5056,0.173243508,6.400000095,9.67061198401784,21,0,0,0,0,0,0,1
CT,1982,1.64695,0.224343672,6.900000095,9.75587862852263,18.5,1,0,0,0,0,0,0
CT,1983,1.3949,0.23356308,6,9.78381767960884,19.25,0,1,0,0,0,0,0
