staat,jahr,nfrage,preis,usteuer,zsteuer
AL,1995,101.085434,158.3713379,1.40466691,40.50000381
AR,1995,111.0429688,175.542511,8.35916901,55.5
AZ,1995,71.95417023,198.6074982,9.45749664,65.33332825
CA,1995,56.85930634,210.5046692,13.77133179,61
CO,1995,82.58292389,167.3500061,0,44
CT,1995,79.47219086,218.2805023,12.35549927,74
DE,1995,124.4665985,165.6000061,0,48
FL,1995,93.07455444,187.7171783,10.62550354,57.90000153
GA,1995,97.47462463,156.5730743,1.43141556,36
IA,1995,92.40159607,190.8899994,9.08999634,60
ID,1995,74.84978485,179.6375122,8.5541687,52
IL,1995,83.26507568,198.4761658,11.23449707,68.00000763
IN,1995,134.2583466,154.5337524,7.35874939,39.5
KS,1995,88.75344086,175.2100067,8.3433342,48
KY,1995,172.6477814,145.9796753,8.26300049,27
LA,1995,105.1761322,167.7953491,6.45366669,44
MA,1995,76.62064362,217.105011,10.33833313,75
MD,1995,77.47354889,186.0337524,8.85874939,60
ME,1995,102.46978,197.2306519,11.16400146,61
MI,1995,81.38825226,240.8496704,13.6330032,99
MN,1995,82.94529724,220.3486633,14.41533661,72
MO,1995,122.4502792,157.2300873,1.38841629,41.00000381
MS,1995,105.5824509,169.2294006,11.07108307,42
MT,1995,87.15956879,156.2166748,0,42
NC,1995,121.538063,149.9940033,5.76900101,29
ND,1995,79.80696869,192.2486725,10.88200378,68
NE,1995,87.27070618,182.1750031,8.67500305,58
NH,1995,156.3367462,166.6416626,0,49
NJ,1995,80.37136841,203.0871735,11.49549866,64
NM,1995,64.66886902,176.1462402,8.38791656,45
NV,1995,93.52611542,206.5991669,13.51583099,59
NY,1995,70.81732178,221.8580017,8.53299713,80
OH,1995,111.3801041,165.8912506,7.89958191,48
OK,1995,108.6801071,170.1349945,8.1016655,47
OR,1995,92.15574646,190.3000031,0,62
PA,1995,95.64308929,176.1631622,9.97149657999999,55
RI,1995,92.59980011,224.4592438,14.68424988,80
SC,1995,108.0827484,152.8187408,7.27708435,31
SD,1995,97.21923065,168.0379944,6.46300125,47
TN,1995,122.3200531,167.0670013,12.37533188,37
TX,1995,73.07930756,198.2023315,11.21900177,65
UT,1995,49.27219772,180.9762573,8.61791611,50.5
VA,1995,105.3868713,166.6612549,7.93625069,26.50000572
VT,1995,122.3347549,175.6387482,8.36375046,44
WA,1995,65.53092194,239.1093445,15.64266968,80.5
WI,1995,92.46634674,201.3812561,9.58958435,62
WV,1995,115.5688324,166.5171814,9.42549896,41
WY,1995,112.2381363,158.5416565,0,36
